Domain,Business Idea,Business Type,Initial Investment,Profit Potential,Target Market,Required Skills,Competition Level,Scalability
Education & Tutoring,Entrance Exam Preparation - Customized,Hybrid,Low,High,International,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",Medium,Medium
Education & Tutoring,Soft Skills Training - Customized,Online,Low,Medium,National,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",Medium,Low
Education & Tutoring,Online Coaching Classes - Online,Hybrid,Low,Low,Local,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",High,Medium
Education & Tutoring,Special Needs Tutoring - Budget-Friendly,Offline,High,High,National,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",High,High
Education & Tutoring,Resume Writing & Career Guidance - Budget-Friendly,Online,Medium,High,National,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",High,Medium
Education & Tutoring,Abacus & Vedic Math Coaching - Customized,Online,Medium,Low,Local,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",High,Low
Education & Tutoring,Spoken English Classes - Online,Offline,Medium,Medium,International,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",High,Low
Education & Tutoring,Abacus & Vedic Math Coaching - Customized,Online,High,Medium,National,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",Medium,Low
Education & Tutoring,Entrance Exam Preparation - Local,Hybrid,Medium,Medium,Local,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",High,Low
Education & Tutoring,Educational YouTube Channel - Online,Online,Low,Low,International,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",Medium,Low
Education & Tutoring,Abacus & Vedic Math Coaching - Luxury,Offline,High,Low,Local,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",Medium,Low
Education & Tutoring,Soft Skills Training - Luxury,Hybrid,Low,High,International,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",Low,High
Education & Tutoring,Handwriting Improvement Training - Online,Online,High,High,International,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",High,High
Education & Tutoring,Entrance Exam Preparation - Budget-Friendly,Offline,Medium,Low,National,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",Low,Low
Education & Tutoring,Soft Skills Training - Local,Hybrid,High,Low,International,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",Medium,Medium
Education & Tutoring,Educational YouTube Channel - Budget-Friendly,Hybrid,High,High,Local,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",Medium,Low
Education & Tutoring,Abacus & Vedic Math Coaching - Handmade,Online,Low,High,National,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",Low,Low
Education & Tutoring,Soft Skills Training - Local,Hybrid,Low,Low,National,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",Low,High
Education & Tutoring,Handwriting Improvement Training - Budget-Friendly,Hybrid,Medium,Low,Local,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",Medium,High
Education & Tutoring,Soft Skills Training - Budget-Friendly,Online,Medium,Medium,International,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",High,Medium
Education & Tutoring,Resume Writing & Career Guidance - Budget-Friendly,Hybrid,Medium,Medium,International,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",High,Medium
Education & Tutoring,Abacus & Vedic Math Coaching - Luxury,Hybrid,Medium,Low,National,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",Low,Low
Education & Tutoring,Resume Writing & Career Guidance - Handmade,Online,Low,Medium,National,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",Low,High
Education & Tutoring,Handwriting Improvement Training - Budget-Friendly,Online,High,Low,Local,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",High,Medium
Education & Tutoring,Online Coaching Classes - Handmade,Hybrid,High,Medium,National,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",High,Low
Education & Tutoring,Resume Writing & Career Guidance - Handmade,Offline,Low,Medium,International,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",Medium,Medium
Education & Tutoring,Personalized Home Tuition - Online,Online,Low,Medium,National,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",Medium,Medium
Education & Tutoring,Spoken English Classes - Budget-Friendly,Online,Medium,High,International,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",Low,High
Education & Tutoring,Online Coaching Classes - Luxury,Offline,Low,High,International,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",Medium,High
Education & Tutoring,Entrance Exam Preparation - Customized,Offline,Medium,Low,International,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",Medium,Low
Education & Tutoring,Handwriting Improvement Training - Handmade,Hybrid,High,Medium,Local,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",Medium,Low
Education & Tutoring,Spoken English Classes - Budget-Friendly,Online,Medium,Low,International,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",High,Low
Education & Tutoring,Handwriting Improvement Training - Budget-Friendly,Hybrid,High,Low,International,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",Low,Low
Education & Tutoring,Personalized Home Tuition - Online,Offline,Low,Medium,Local,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",High,High
Education & Tutoring,Entrance Exam Preparation - Local,Hybrid,Low,Medium,Local,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",Low,High
Education & Tutoring,Educational YouTube Channel - Customized,Offline,Medium,Medium,International,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",Medium,Medium
Education & Tutoring,Special Needs Tutoring - Luxury,Offline,Low,Medium,National,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",Medium,Medium
Education & Tutoring,Entrance Exam Preparation - Online,Online,High,Low,National,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",Medium,Low
Education & Tutoring,Soft Skills Training - Local,Online,High,High,Local,"Teaching, Communication, Patience, Subject Expertise, Public Speaking",Medium,High
Handicrafts & DIY Crafts,Macrame Decor & Accessories - Luxury,Online,Low,Medium,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,High
Handicrafts & DIY Crafts,Eco-Friendly Home Decor - Handmade,Offline,Medium,High,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,High
Handicrafts & DIY Crafts,Resin Art Business - Luxury,Offline,Medium,High,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,Low
Handicrafts & DIY Crafts,Handmade Scrapbook Albums - Customized,Hybrid,High,Low,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,Medium
Handicrafts & DIY Crafts,Paper Quilling Business - Local,Online,Medium,Low,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,High
Handicrafts & DIY Crafts,Pottery & Ceramic Art - Local,Offline,High,Medium,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,High
Handicrafts & DIY Crafts,Pottery & Ceramic Art - Handmade,Hybrid,Low,High,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,High
Handicrafts & DIY Crafts,Macrame Decor & Accessories - Local,Hybrid,Medium,High,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,High
Handicrafts & DIY Crafts,Handmade Scrapbook Albums - Handmade,Online,Low,Medium,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Medium
Handicrafts & DIY Crafts,Pottery & Ceramic Art - Customized,Hybrid,High,High,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,High
Handicrafts & DIY Crafts,Paper Quilling Business - Luxury,Hybrid,High,Low,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Low
Handicrafts & DIY Crafts,Personalized Gift Items - Local,Hybrid,Low,Medium,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Low
Handicrafts & DIY Crafts,Handmade Greeting Cards - Customized,Offline,Low,Low,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,High
Handicrafts & DIY Crafts,Pottery & Ceramic Art - Budget-Friendly,Offline,Low,Low,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,Low
Handicrafts & DIY Crafts,Handcrafted Wooden Items - Customized,Hybrid,Low,High,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,High
Handicrafts & DIY Crafts,Resin Art Business - Local,Hybrid,Medium,Medium,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Medium
Handicrafts & DIY Crafts,Pottery & Ceramic Art - Local,Offline,Low,Low,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,High
Handicrafts & DIY Crafts,Eco-Friendly Home Decor - Customized,Online,Medium,Medium,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,High
Handicrafts & DIY Crafts,Pottery & Ceramic Art - Budget-Friendly,Offline,High,Low,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Low
Handicrafts & DIY Crafts,Handmade Scrapbook Albums - Luxury,Offline,High,Medium,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,Low
Handicrafts & DIY Crafts,Paper Quilling Business - Local,Hybrid,Low,High,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Low
Handicrafts & DIY Crafts,Pottery & Ceramic Art - Customized,Hybrid,Low,Medium,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,High
Handicrafts & DIY Crafts,Handmade Greeting Cards - Budget-Friendly,Hybrid,Medium,Medium,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Medium
Handicrafts & DIY Crafts,Macrame Decor & Accessories - Luxury,Offline,High,Medium,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Medium
Handicrafts & DIY Crafts,Resin Art Business - Local,Offline,Low,High,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Low
Handicrafts & DIY Crafts,Handcrafted Wooden Items - Handmade,Hybrid,Medium,Low,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Low
Handicrafts & DIY Crafts,Resin Art Business - Handmade,Hybrid,High,Medium,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Low
Handicrafts & DIY Crafts,Macrame Decor & Accessories - Handmade,Hybrid,Medium,Medium,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,High
Handicrafts & DIY Crafts,Personalized Gift Items - Online,Online,Low,High,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Medium
Handicrafts & DIY Crafts,Personalized Gift Items - Online,Online,Low,Low,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,Low
Handicrafts & DIY Crafts,Handmade Scrapbook Albums - Online,Online,Low,Medium,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Medium
Handicrafts & DIY Crafts,Paper Quilling Business - Customized,Online,Low,Low,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Medium
Handicrafts & DIY Crafts,Macrame Decor & Accessories - Handmade,Hybrid,Medium,Medium,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Medium
Handicrafts & DIY Crafts,Paper Quilling Business - Online,Offline,Low,Medium,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,High
Handicrafts & DIY Crafts,Paper Quilling Business - Customized,Hybrid,Medium,Medium,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Low
Handicrafts & DIY Crafts,Resin Art Business - Handmade,Online,High,Low,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,Medium
Handicrafts & DIY Crafts,Macrame Decor & Accessories - Handmade,Offline,High,Low,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,High
Handicrafts & DIY Crafts,Personalized Gift Items - Local,Online,Medium,Medium,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Medium
Handicrafts & DIY Crafts,Personalized Gift Items - Online,Offline,Medium,Medium,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Low
Handicrafts & DIY Crafts,Resin Art Business - Customized,Hybrid,Medium,Low,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,Low
Handicrafts & DIY Crafts,Personalized Gift Items - Budget-Friendly,Hybrid,High,High,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,High
Handicrafts & DIY Crafts,Paper Quilling Business - Customized,Online,High,Low,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Low
Handicrafts & DIY Crafts,Macrame Decor & Accessories - Local,Online,High,Medium,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Medium
Handicrafts & DIY Crafts,Handmade Greeting Cards - Customized,Online,Medium,High,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Medium
Handicrafts & DIY Crafts,Handmade Fabric Dolls - Luxury,Offline,Low,Medium,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,Medium
Handicrafts & DIY Crafts,Handmade Scrapbook Albums - Handmade,Offline,Low,High,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Low
Handicrafts & DIY Crafts,Handcrafted Wooden Items - Local,Hybrid,High,Low,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Medium
Handicrafts & DIY Crafts,Personalized Gift Items - Handmade,Offline,Low,Medium,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,High
Handicrafts & DIY Crafts,Macrame Decor & Accessories - Online,Online,Low,Medium,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Medium
Handicrafts & DIY Crafts,Paper Quilling Business - Online,Offline,Low,Low,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Low
Handicrafts & DIY Crafts,Resin Art Business - Online,Hybrid,High,Low,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,High
Handicrafts & DIY Crafts,Handmade Scrapbook Albums - Customized,Offline,Low,Medium,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,Medium
Handicrafts & DIY Crafts,Paper Quilling Business - Luxury,Offline,High,Low,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,High
Handicrafts & DIY Crafts,Handmade Greeting Cards - Local,Online,Low,Medium,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,High
Handicrafts & DIY Crafts,Eco-Friendly Home Decor - Customized,Hybrid,Low,High,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,Medium
Handicrafts & DIY Crafts,Handcrafted Wooden Items - Luxury,Online,Medium,Low,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Medium
Handicrafts & DIY Crafts,Handmade Greeting Cards - Customized,Online,Low,High,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,High
Handicrafts & DIY Crafts,Pottery & Ceramic Art - Luxury,Hybrid,Low,Medium,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,Medium
Handicrafts & DIY Crafts,Resin Art Business - Local,Offline,Medium,Medium,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Medium
Handicrafts & DIY Crafts,Handcrafted Wooden Items - Handmade,Online,Low,Medium,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Low
Handicrafts & DIY Crafts,Handmade Greeting Cards - Online,Online,Medium,Medium,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,High
Handicrafts & DIY Crafts,Eco-Friendly Home Decor - Online,Hybrid,Medium,Medium,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,Low
Handicrafts & DIY Crafts,Macrame Decor & Accessories - Online,Hybrid,High,Low,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,Medium
Handicrafts & DIY Crafts,Handmade Scrapbook Albums - Budget-Friendly,Online,Low,Low,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Low
Handicrafts & DIY Crafts,Personalized Gift Items - Budget-Friendly,Online,Medium,High,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Medium
Handicrafts & DIY Crafts,Personalized Gift Items - Local,Offline,Low,Low,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,High
Handicrafts & DIY Crafts,Pottery & Ceramic Art - Luxury,Online,Medium,Medium,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Medium
Handicrafts & DIY Crafts,Handmade Greeting Cards - Online,Online,High,High,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Low
Handicrafts & DIY Crafts,Handcrafted Wooden Items - Online,Hybrid,Medium,Low,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,High
Handicrafts & DIY Crafts,Resin Art Business - Budget-Friendly,Offline,High,Low,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Medium
Handicrafts & DIY Crafts,Pottery & Ceramic Art - Handmade,Hybrid,Medium,Medium,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,High
Handicrafts & DIY Crafts,Handmade Fabric Dolls - Online,Offline,High,Low,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Low
Handicrafts & DIY Crafts,Eco-Friendly Home Decor - Online,Online,Low,Low,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,High
Handicrafts & DIY Crafts,Paper Quilling Business - Customized,Offline,High,Medium,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,High
Handicrafts & DIY Crafts,Personalized Gift Items - Luxury,Hybrid,Low,Low,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Low
Handicrafts & DIY Crafts,Resin Art Business - Local,Offline,Medium,Low,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Low
Handicrafts & DIY Crafts,Pottery & Ceramic Art - Budget-Friendly,Hybrid,High,Medium,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Medium
Handicrafts & DIY Crafts,Handmade Fabric Dolls - Customized,Hybrid,Low,Medium,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,High
Handicrafts & DIY Crafts,Handmade Greeting Cards - Handmade,Offline,Low,High,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,Medium
Handicrafts & DIY Crafts,Handcrafted Wooden Items - Online,Offline,High,Medium,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Medium
Handicrafts & DIY Crafts,Handmade Scrapbook Albums - Handmade,Hybrid,Medium,High,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,High
Handicrafts & DIY Crafts,Eco-Friendly Home Decor - Handmade,Hybrid,Low,High,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Medium
Handicrafts & DIY Crafts,Resin Art Business - Budget-Friendly,Online,High,Medium,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,High
Handicrafts & DIY Crafts,Pottery & Ceramic Art - Online,Online,Medium,High,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Low
Handicrafts & DIY Crafts,Paper Quilling Business - Luxury,Offline,High,Low,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Medium
Handicrafts & DIY Crafts,Paper Quilling Business - Handmade,Online,High,Medium,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,High
Handicrafts & DIY Crafts,Handcrafted Wooden Items - Budget-Friendly,Online,High,High,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Medium
Handicrafts & DIY Crafts,Personalized Gift Items - Local,Offline,Low,Medium,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,High
Handicrafts & DIY Crafts,Handmade Scrapbook Albums - Online,Hybrid,Low,Low,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Medium
Handicrafts & DIY Crafts,Handmade Scrapbook Albums - Online,Online,Low,Low,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,High
Handicrafts & DIY Crafts,Resin Art Business - Budget-Friendly,Offline,Low,High,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,High
Handicrafts & DIY Crafts,Macrame Decor & Accessories - Handmade,Hybrid,Low,High,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,High
Handicrafts & DIY Crafts,Macrame Decor & Accessories - Local,Online,High,High,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Low
Handicrafts & DIY Crafts,Handmade Greeting Cards - Luxury,Online,High,High,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Medium
Handicrafts & DIY Crafts,Handcrafted Wooden Items - Handmade,Offline,Medium,Medium,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Medium
Handicrafts & DIY Crafts,Handmade Greeting Cards - Budget-Friendly,Offline,Medium,High,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Low
Handicrafts & DIY Crafts,Macrame Decor & Accessories - Handmade,Hybrid,Medium,High,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Low
Handicrafts & DIY Crafts,Handmade Fabric Dolls - Customized,Offline,Low,High,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,High
Handicrafts & DIY Crafts,Pottery & Ceramic Art - Handmade,Online,High,High,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,High
Handicrafts & DIY Crafts,Pottery & Ceramic Art - Budget-Friendly,Online,Medium,High,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Low
Handicrafts & DIY Crafts,Paper Quilling Business - Online,Online,Low,Medium,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Medium
Handicrafts & DIY Crafts,Handmade Scrapbook Albums - Customized,Online,Medium,Medium,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Medium
Handicrafts & DIY Crafts,Paper Quilling Business - Online,Online,Low,Medium,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Medium
Handicrafts & DIY Crafts,Macrame Decor & Accessories - Handmade,Offline,Medium,Medium,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Medium
Handicrafts & DIY Crafts,Handcrafted Wooden Items - Handmade,Online,Medium,Medium,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Medium
Handicrafts & DIY Crafts,Paper Quilling Business - Local,Offline,Low,Low,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,Medium
Handicrafts & DIY Crafts,Pottery & Ceramic Art - Budget-Friendly,Online,Medium,Low,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,High
Handicrafts & DIY Crafts,Resin Art Business - Local,Offline,High,Medium,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,Medium
Handicrafts & DIY Crafts,Resin Art Business - Customized,Online,Low,Medium,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Medium
Handicrafts & DIY Crafts,Handmade Fabric Dolls - Handmade,Hybrid,Low,Medium,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,Medium
Handicrafts & DIY Crafts,Handmade Greeting Cards - Luxury,Offline,High,High,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Medium
Handicrafts & DIY Crafts,Handmade Fabric Dolls - Budget-Friendly,Online,High,Medium,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Low
Handicrafts & DIY Crafts,Pottery & Ceramic Art - Local,Online,Medium,Medium,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Medium
Handicrafts & DIY Crafts,Handmade Scrapbook Albums - Online,Offline,Low,Medium,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,High
Handicrafts & DIY Crafts,Handcrafted Wooden Items - Customized,Offline,Low,High,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,High
Handicrafts & DIY Crafts,Handcrafted Wooden Items - Budget-Friendly,Online,Low,High,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,High
Handicrafts & DIY Crafts,Paper Quilling Business - Local,Online,Low,Low,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Low
Handicrafts & DIY Crafts,Personalized Gift Items - Budget-Friendly,Hybrid,Low,High,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,High
Handicrafts & DIY Crafts,Handmade Fabric Dolls - Handmade,Offline,Medium,High,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,Medium
Handicrafts & DIY Crafts,Macrame Decor & Accessories - Online,Hybrid,Medium,High,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Low
Handicrafts & DIY Crafts,Handmade Greeting Cards - Online,Online,High,High,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,High
Handicrafts & DIY Crafts,Handcrafted Wooden Items - Luxury,Offline,Medium,Medium,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Medium
Handicrafts & DIY Crafts,Pottery & Ceramic Art - Online,Online,High,Low,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,Low
Handicrafts & DIY Crafts,Handcrafted Wooden Items - Local,Offline,Medium,Medium,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Low,High
Handicrafts & DIY Crafts,Handmade Fabric Dolls - Handmade,Hybrid,Medium,High,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Low
Handicrafts & DIY Crafts,Handcrafted Wooden Items - Budget-Friendly,Offline,Medium,Medium,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,High
Handicrafts & DIY Crafts,Handcrafted Wooden Items - Handmade,Online,High,Medium,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,High
Handicrafts & DIY Crafts,Eco-Friendly Home Decor - Budget-Friendly,Offline,Low,Medium,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Low
Handicrafts & DIY Crafts,Paper Quilling Business - Luxury,Online,High,High,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,High
Handicrafts & DIY Crafts,Handmade Greeting Cards - Local,Hybrid,Medium,Medium,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Low
Handicrafts & DIY Crafts,Handmade Greeting Cards - Local,Offline,Low,High,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Low
Handicrafts & DIY Crafts,Resin Art Business - Budget-Friendly,Online,Low,Medium,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,High
Handicrafts & DIY Crafts,Personalized Gift Items - Customized,Online,Medium,Low,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,High
Handicrafts & DIY Crafts,Paper Quilling Business - Customized,Hybrid,Low,Medium,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Medium
Handicrafts & DIY Crafts,Resin Art Business - Luxury,Online,Low,Medium,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,High
Handicrafts & DIY Crafts,Personalized Gift Items - Budget-Friendly,Hybrid,Medium,High,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Low
Handicrafts & DIY Crafts,Handcrafted Wooden Items - Handmade,Online,Medium,Medium,Local,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Low
Handicrafts & DIY Crafts,Personalized Gift Items - Luxury,Online,Medium,High,International,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",High,Medium
Handicrafts & DIY Crafts,Resin Art Business - Handmade,Online,Low,Low,National,"Creativity, Handcrafting, Designing, Painting, Material Sourcing",Medium,Medium
